authors,comments
@EO77144,올로룬 후반인줄 알았는데 젠장~~~~~ 할 수 없이 차스카 뽑아야겠지?
@user-nay06,하 시틀라리가 진짜 제일 맛있는 반찬인데 담버전에 기대해야겠네 너무 아쉽다 
@뮤직허브-123,아 안돼 방랑자를 뽑을 이유가 하나 줄었어...
@이퀄,감자전에 이어서 터키석이라니 저 터키석을 만나면 밤 여정의 두루마리가 채워지겠군
@젠존제,진짜 나타는 ㄹㅇ 너무재밌고 색다른거같아서 재밌고 GOAT면 개추 ㅋㅋㅋㅋㅋ
@KPril_,나타의 왕이 행차하신다!!
@spaik771,??? : 라이오슬리! 당장 나와!
@츠로유리슈루,하..ㅅㅂ..나 어제 이거 안보고 뭐했냐..시간 지나서 리딤 못받잖아ㅜㅜㅜ
@YHR2윤호랑이,아직 용왕 못뽑은 사람 두 번째 픽업에서 뽑아서 나오길 바란다!!!ㅋㅋㅋㅋㅋㅋㅋ
@msj8980,이젠 캐릭이 하도많아서 한정뽑을 3개로 늘려야 하지않나?
@이민영-dda1,라이오슬리 기다리는 중..  그때까진 얼음은 치치만 사용예정.. 치치 스토리 내놔....;;
@이이이이이eee,용들의 나라라고 후반이 다 용가리네
@돔황챠-n4m,재미를 추구하는 입장에서 느비는 절대 뽑지 않겠다
@김선율-t1f,뭐야 원래 성우분 모셔놓고 신캐 출시 안하는 경우도 있는 거였음??
@whose_son,성유물은 잠금기능 뭐시기가 더 어려움. 그냥 3천칸으로 늘려주면 만사해결
@You_Ae,올로룬만 스근하게 뽑고 스탑해야지
@크리스토프-b9x,이젠 하늘도 마음대로 날 수 있구나
@루롤-l2i,캐릭터가 많아지니 내가 원하는 캐는 점점 미뤄지겠구나
@미리네-y6c,얼음 속성의 존재 이유가 뭘까
@폭발의_도끼,올로론이 4성이네..라니 5성이니냐는 말이있었는데
@AI-vr8wy,오치카나타 위쪽 먹구름에 하늘 섬 있어서 올로룬이나 차스카 하나는 가져가는거 추천. 하늘섬에 돌들이 워낙 떨어져있어서 둘다 없이 방랑자만으로는 꼬움
@ryuusungrune4285,이번엔 걸러야겠다........ 시틀라리가 안나오네
@h0lida_2,라슬 언제나와.. 니만 기다린다 모든 준비는 끝났어 몸만와라
@엥1021-d3w,미친거야 느비랑 종려가 같이 나오면 누굴뽑아
@모두의세상,마비카 전에 뉴비들 원석 털어먹으려고 종려 느비 내놨네
@숟가락무슈,후반에 느비 종려라니 뉴비들 지갑은 울고있다
@Dondadayo7,올로룬이 4성???? 이건 예상 못했다
@Hong-f6l,마비카는 캐릭으로 언제 나올려나. 일곱 신중 하나일텐데
@일반인-코스프레,유라 하사님의 후임이 많군요^^7
@사가-k5g,뭐야 올로룬 4성이였네 5성일줄 알았는데
@ingchae,라슬좀 주라 제발 신학도 좀 뽑게 해주라 진짜 원석만 개 모으고 있는데 애들이 안나온다 진짜
@라미-o5x,올로룬 뽑고싶은데 차스카 리니는 필요가 없어..
@호돌군,차스카 제발 화장 좀 지우자. 캐릭터 잘 만들어놓고 왜 저따구로 화장해서 캐릭터를 망쳐. 캐릭터 장사하는데 왜 모두가 싫어하는걸 그대로 유지하냐.
@원신하는원붕이민탱,하지만 올로룬 궁은 그냥 카즈하 벤티로 대체하면 되는ㄷ....크흠...
@이퀄,초반 하늘날아다니는 필드원탑 차스카vs보호막 goat 딜러goat
@Baek_jin,올로룬 4성이었어..?
@icelake1773,일단 한동안은 커뮤는 접어야겠다..ㅋ...ㅋㅋ...
@ChaiLatte0987,명룡 기믹 어디서 많이 본 스멜인데 ㅋㅋㅋㅋㅋㅋㄴㅋ  왕눈갖다쓰기 슬슬 시동들어가네
@netiquette_youtube,9:03 차스카 깃룡한테 길려졌다고 했는데 모르는 사람이 많네
@초밀-h1e,단죄의 황녀가 우리의 지갑을 단죄할거야..!
@아아-t6j8y,이젠 화도 안남 그냥 이젠 신학하고 라슬 언제나올지가 기대도 안됨ㅋㅋㅋ
